Title,Pro_link,info,online_price,sale_price,save,offer,Financing
Inspiron 14 Laptop,//www.dell.com/en-in/shop/laptops-2-in-1-pcs/inspiron-14-laptop/spd/inspiron-14-5420-laptop/2354205kw76s1mc1in,{'Processor': '12th Generation Intel® Core™ i5-1235U'},"₹ 82,990.01",Dell Price,"₹ 14,000.00,(17%)","Extra ₹2,000 off on Netbanking transactions",No cost EMI
Inspiron 14 Laptop,//www.dell.com/en-in/shop/laptops-2-in-1-pcs/inspiron-14-laptop/spd/inspiron-14-5420-laptop/bts-icc-c782545win8,{'Processor': '12th Gen Intel® Core™ i7-1255U'},"₹ 87,989.99",Dell Price,"₹ 15,000.00,(17%)","Extra ₹2,000 off on Netbanking transactions",No cost EMI
Inspiron 14 Laptop,//www.dell.com/en-in/shop/laptops-2-in-1-pcs/inspiron-14-laptop/spd/inspiron-14-5420-laptop/bts-icc-c782543win8,{'Processor': '12th Gen Intel® Core™ i5-1235U'},"₹ 85,989.99",Dell Price,"₹ 15,000.00,(17%)","Extra ₹2,000 off on Netbanking transactions",No cost EMI
Inspiron 14 2-in-1 Laptop,//www.dell.com/en-in/shop/laptops-2-in-1-pcs/inspiron-14-2-in-1-laptop/spd/inspiron-14-7420-2-in-1-laptop/d560779win9s,{'Processor': '12th Gen Intel® Core™ i7-1255U'},"₹ 1,13,989.99",Dell Price,"₹ 10,000.00,(9%)","Instant Cashback ₹5,000 on purchase using ICICI Credit Card EMI/Non-EMI transactions",No cost EMI
Inspiron 16 laptop,//www.dell.com/en-in/shop/laptops-2-in-1-pcs/inspiron-16-laptop/spd/inspiron-16-5620-laptop/bts-icc-c783532win8,{'Processor': '12th Gen Intel® Core™ i7-1255U'},"₹ 1,09,989.98",Dell Price,"₹ 19,000.00,(17%)","Extra ₹2,000 off on Netbanking transactions",No cost EMI
Inspiron 16 laptop,//www.dell.com/en-in/shop/laptops-2-in-1-pcs/inspiron-16-laptop/spd/inspiron-16-5620-laptop/bts-icc-c783531win8,{'Processor': '12th Gen Intel® Core™ i5-1240P'},"₹ 97,989.99",Dell Price,"₹ 17,000.00,(17%)","Extra ₹2,000 off on Netbanking transactions",No cost EMI
Inspiron 14 Laptop,//www.dell.com/en-in/shop/laptops-2-in-1-pcs/inspiron-14-laptop/spd/inspiron-14-5425-laptop/bts-icc-c782523win8,{'Processor': 'AMD Ryzen™ 5 5625U 6-core/12-thread Processor with Radeon™ Graphics'},"₹ 70,989.45",Dell Price,"₹ 10,000.00,(14%)","Extra ₹2,000 off on Netbanking transactions",No cost EMI
Inspiron 15 Laptop,//www.dell.com/en-in/shop/laptops-2-in-1-pcs/inspiron-15-laptop/spd/inspiron-15-3525-laptop/d560789win9s,{'Processor': 'AMD Ryzen™ 5 5625U 6-core/12-thread Processor with Radeon™ Graphics'},"₹ 57,089.99",Dell Price,"₹ 3,500.00,(6%)","Instant Cashback ₹2,500 on purchase using ICICI Credit Card EMI/Non-EMI transactions",No cost EMI
Inspiron 16 laptop,//www.dell.com/en-in/shop/laptops-2-in-1-pcs/inspiron-16-laptop/spd/inspiron-16-5620-laptop/bts-icc-c783523win8,{'Processor': '12th Gen Intel® Core™ i3-1215U'},"₹ 61,489.99",Dell Price,"₹ 11,000.00,(18%)","Extra ₹1,000 off on Netbanking transactions",No cost EMI
Inspiron 14 Laptop,//www.dell.com/en-in/shop/laptops-2-in-1-pcs/inspiron-14-laptop/spd/inspiron-14-5420-laptop/bts-icc-c782532win8,{'Processor': '12th Gen Intel® Core™ i3-1215U'},"₹ 68,490.01",Dell Price,"₹ 12,000.00,(18%)","Extra ₹1,000 off on Netbanking transactions",No cost EMI
