name,id,page,pro_url,description,list_price,sale_price,discount,image,time
"Lenovo Tab M8 8505X 20.32 cm (8 inch) Tablet 2 GB RAM, 32 GB, Iron Grey, ZA5H0151IN",491997339,2,https://www.reliancedigital.in/lenovo-tab-m8-8505x-20-32-cm-8-inch-tablet-2-gb-ram-32-gb-iron-grey-za5h0151in/p/491997339,"STUNNING AND STYLISH MULTIMEDIA TABLET
Lenovo Tab M8 is the 2nd generation mainstream tablet that comes with standout metal design, and is tailored to make your entertainment experience richer. The tunning 20.32 cm (8 inch) HD display brings you a crispier and brighter visual world. More than that, no matter you are watching a thrilling online movie or playing an exciting game, the fast speed and stable connection can also make your enjoyment perfect. Non-stop entertainment is just ON. Lenovo Tab M8, your best companion device with stunning performance and stylish design. The device that everyone wants to have.
Stylish look & feel
Standout design with modern simplicity and refined with dedicated details, with up to 95 full metal cover, and 83% panel-to- body ratio.
Crispy HD Display
Step into a crispier and brighter visual world with the stunning  20.32 cm (8 inch) HD display. Never miss a detail.
Fast and Powerful
Non-stop game playing and video streaming, packed with Quad-Core 2.0 GHz, and 2.4/5 GHz WiFi dual band support.
Long Battery Life
5000+ mAh battery capacity for the whole day usage with browsing and watching.
True Eye Care Protection
With special light and display technology development, Lenovo tablets ensure that the display lowers harmful blue light when appropriate to reduce strain on the eyes.",11499.0,"₹11,499","28%(₹4,501)",https://www.reliancedigital.in/medias/Lenovo-ZA5H0151IN-M8-Tablet-491997339-i-1-1200Wx1200H-96Wx96H?context=bWFzdGVyfGltYWdlc3wzMjU3MHxpbWFnZS9qcGVnfGltYWdlcy9oYTkvaDM3Lzk2MTUzODA3MDk0MDYuanBnfGRmMjBlMzBhNjJiYjk1OTM1Nzk4ODVkZGNiOGY4ZTgyODUzMTM3ZWI4ODM0NWJkZmFhODg4MjI5MWExZmJlNjU,1629297565876
"realme 26.31 cm (10.4 inch) Wi-Fi Pad 3 GB RAM, 32 GB, Real Gold",492573880,2,https://www.reliancedigital.in/realme-26-31-cm-10-4-inch-wi-fi-pad-3-gb-ram-32-gb-real-gold/p/492573880,"realme Pad
Ultra Slim. Real Fun.
6.9mm Ultra-Slim Design
26.31 cm (10.4 inch) WUXGA+ Immersive Display

* This realme Pad Tablet image is for illustration purpose only. Actual image may vary.
Extraordinary Features
26.31cm (10.4 inch) WUXGA+ Immersive Display
7100mAh Mega Battery
6.9mm Ultra Slim Design 
Helio G80 Gaming Processor
8MP Ultra Wide-angle Camera
Dolby Atmos Quad Speakers
realme UI for Pad



* This realme Pad Tablet video is for illustration purpose only.
Easy to hold and easy to look at.
realme Pad was born to let you imagine and play on the go. Its seamless metal exterior keeps it slim and feather-light for true portability. Slip it into a tote with ease, hold it for hours without fatigue, and feast your eyes on its sleek minimalist look.
6.9mm Thickness
440g Weight

* This realme Pad Tablet image is for illustration purpose only. Actual image may vary.
Bring the whole world to your eyes.
With its razor-thin bezels and wide 10.4-inch WUXGA+ display, realme Pad turns games and movies
into immersive and vivid experiences. Plus, 2000 × 1200 resolution brings every detail to life.*
26.31 cm (10.4 inch) Fullscreen
2000 × 1200 Resolution
82.5% Screen-to-body Ratio

* This realme Pad Tablet image is for illustration purpose only. Actual image may vary.
Power your fun for longer.
A 7100mAh battery delivers power beyond expectations - enough for 65 days in standby, or 12 straight hours of video viewing. And with 18W Quick Charge, your Pad recharges in a short time.*
18W Quick Charge
7100mAh Mega Battery
12 Hours Video Viewing
65 Days Standby
Supports Reverse Charging

* This realme Pad Tablet image is for illustration purpose only. Actual image may vary.
Surround yourself in crystal-clear sound.
Skip the cinema tickets and enjoy realme Pad's crystal-clear surround sound pumping from quad speakers with smart PA for powerful bass. Thanks to Adaptive Surround Sound, you'll get the best stereo no matter how you hold it.
Smart PA
Adaptive Surround Sound

* This realme Pad Tablet image is for illustration purpose only. Actual image may vary.
Take your gaming to the next level.
realme Pad's octa-core Helio G80 processor reaches clock speeds of up to 2.0GHz. The CPU outperforms the previous generation by 35%, and the Mali G52 950MHz GPU outperforms its predecessor by 20%. The result is brilliant image quality and a more stable frame rate for an exceptional gaming experience.*
35%↑ CPU Performance
20%↑ GPU Performance

* This realme Pad Tablet image is for illustration purpose only. Actual image may vary.
Perfect setup for your video calls.
Front-facing HD Camera with Dual Mic Noise Cancellation makes it a perfect choice for online education, video calls &conferences.
8MP HD Front & Rear Camera
105° Wide Angle
Dual Mic Clear Voice
Face Recognition

* This realme Pad Tablet image is for illustration purpose only. Actual image may vary.
A smoother way to have fun.
realme UI for Pad was designed specifically for entertainment, with a simplified layout and smooth operation for a unique experience.

* This realme Pad Tablet image is for illustration purpose only. Actual image may vary.
Double the windows, double the efficiency.
Multi-Window Mode can make two apps running simultaneously. That means you can multi-task with ease, browsing the web and chatting with friends at the same time.

* This realme Pad Tablet image is for illustration purpose only. Actual image may vary.
Keep your eyes feeling fresh.
Reading Mode simulates the texture of a book's pages. Dark Mode keeps your eyes comfortable at night. Night Mode protects your eyes by reducing brightness to 2 nits when your lights are turned off. And Sunlight Mode ensures you can see your screen clearly outdoors. To top it off, there's a Eye Comfort Mode to reduce eye strain.
Dark Mode

* This realme Pad Tablet image is for illustration purpose only. Actual image may vary.
Eye Comfort Mode

* This realme Pad Tablet image is for illustration purpose only. Actual image may vary.
Reading Mode

* This realme Pad Tablet image is for illustration purpose only. Actual image may vary.
Perfect for family members.
Multi-User Mode was designed for the many families who share a tablet. It features separate systems for children and adults, ensuring both safety and privacy.
Designed for your kids.
Because realme takes healthy childhood development seriously, we've integrated the Google Kids Space right into the system, providing a series of applications, videos, and books suitable for children. Kids Space's interface is colorful, cute, and easy to use, and parents can set a screen usage limit and select which applications their children can use.
Connect to the future.
Instead of typing a password, you can use your realme Band/Watch to unlock realme Pad instantly. Nearby Share allows your phone and tablet to share the files and images immediately, and Open-up Auto Connection connects your earphones to the Pad automatically when they're close by. Plus, cast screen features can cast content from your Pad to your TV, like magically enlarging your Pad!
Cast screen to TV
Nearby Share to Smartphones
Smart Watch/Band Unlock realme Pad
Open-up Auto Connection with Earphones

* This realme Pad Tablet image is for illustration purpose only. Actual image may vary.
Enough space for all your memories.
realme Pad can handle multi-tasking with ease, helping you get more done. And with up to 4+64GB RAM & ROM, expandable by up to 1TB, you can hold on to all your beloved videos, photos, games, and beyond.

* This realme Pad Tablet image is for illustration purpose only. Actual image may vary.
Enjoy high-speed 4G network connection.
The 4G LTE version brings enhanced convenience to your work. Use your Pad as a phone to call or text
colleagues or loved ones anywhere, anytime.

* This realme Pad Tablet image is for illustration purpose only. Actual image may vary.
Quality that passes every test.
Each realme Pad undergoes rigorous testing before it gets to you - because we know you deserve advanced products you can rely on.
200,000 Power button test
50,000 Volume button test
5,000 Earphone plugging & unplugging test
10,000 USB port plugging & unplugging test
120 Hours 55°C/95%RH high temperature & high humidity test

* This realme Pad Tablet image is for illustration purpose only. Actual image may vary.",13925.0,"₹13,925","44%(₹11,074)",https://www.reliancedigital.in/medias/realme-Pad-Tablets-492573880-i-1-1200Wx1200H-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMzU0NHxpbWFnZS9qcGVnfGltYWdlcy9oMjMvaGFlLzk3MjcxMTE4NTYxNTguanBnfGY0ZjRhNDJlOTQyNDBmYmZmZDRmNGJiYTQ2ZjUzM2FiZGE2NWZhYzAyOWMzMWNkNDM2YTVkNDFlOGE2MWIzYzE,1638449911274
"Samsung Galaxy Tab S8+ WiFi + 5G 31.50 cm (12.4 Inch) Tablet, 8 GB RAM, 128 GB, Graphite, SM-X806BZAAINU",492849236,2,https://www.reliancedigital.in/samsung-galaxy-tab-s8-wifi-5g-31-50-cm-12-4-inch-tablet-8-gb-ram-128-gb-graphite-sm-x806bzaainu/p/492849236,"







































*  This Samsung S8+ Tablet image is for illustration purpose only. Actual image may vary.",87999.0,"₹87,999","12%(₹12,000)",https://www.reliancedigital.in/medias/Samsung-Galaxy-S8-Plus-Tablets-492849236-i-1-1200Wx1200H-96Wx96H?context=bWFzdGVyfGltYWdlc3wyMDYwOHxpbWFnZS9qcGVnfGltYWdlcy9oZGUvaDE4Lzk3ODA0ODI0NDEyNDYuanBnfDc4OWZmZDk1NTM5NzY3OTk0ODQ3OWNhZWEwYzFiMWNmZDk3YTRmNzU4N2VhYTY5NjViM2YxNzg0YzM5NWQ2ZTc,1645604793203
"Samsung Galaxy 26.69 cm (10.5 inch) LTE Tablet 4GB, 64GB, Silver Tab A8 X205N (2022)",492574934,2,https://www.reliancedigital.in/samsung-galaxy-26-69-cm-10-5-inch-lte-tablet-4gb-64gb-silver-tab-a8-x205n-2022-/p/492574934,"












* This Samsung TabA8-X205N Tablet image is for illustration purpose only. Actual image may vary.",20999.0,"₹20,999","27%(₹7,800)",https://www.reliancedigital.in/medias/Samsung-X205N-Tablets-492574934-i-1-1200Wx1200H-96Wx96H?context=bWFzdGVyfGltYWdlc3wzMzEzMnxpbWFnZS9qcGVnfGltYWdlcy9oZTUvaGI5Lzk3NTY2Njc3NzI5NTguanBnfGZjN2ZiZjdjYTliNThhNzE4ZmFkMjVjYmY3M2M3NzIyNGE2NTkwMzZkOTcyNjNhYzQ2OTUwZWI3ZTUyZjIyMjY,1642175864641
"Lenovo M10 HD 25.65 cm (10.1 inch) Wi-Fi Tablet 2 GB RAM, 32 GB, Black ZA4G0007IN",491838407,2,https://www.reliancedigital.in/lenovo-m10-hd-25-65-cm-10-1-inch-wi-fi-tablet-2-gb-ram-32-gb-black-za4g0007in/p/491838407,"Performance for you
The Lenovo Tab M10 (HD) has just the right specs for an entertainment tablet the whole family can share. The Qualcomm Snapdragon quad-core processor keeps things running quickly and smoothly. And 802.11 a/b/g/n/ac WiFi means you'll enjoy speedy and strong connectivity.
Immersive Dolby Audio
Surround yourself in booming sound when you take in music, movies, shows, and videos. The Lenovo M10 (HD) boasts dual front-facing speakers and Dolby Audio, so you'll enjoy an immersive sound experience wherever you go.
 * This Lenovo Tab M10 HD Tablet image is for illustration purpose only. Actual image may vary.
Unlock with face recognition
Unlock your device in a flash. Thanks to face-recognition technology, the Lenovo Tab M10 (HD) recognizes your face and logs you in with a glance.
Worry-free family sharing with Kids Mode
Turn on the Kids Mode to keep your children safe - and entertained with custom content. Parental control features put you in charge of what your kids see, while eye-protection technology helps reduce eyestrain.
 * This Lenovo Tab M10 HD Tablet image is for illustration purpose only. Actual image may vary.",10449.0,"₹10,449","45%(₹8,541)",https://www.reliancedigital.in/medias/Lenovo-ZA4G0007IN-Tablets-491838407-i-1-1200Wx1200H-96Wx96H?context=bWFzdGVyfGltYWdlc3wyMzQ5N3xpbWFnZS9qcGVnfGltYWdlcy9oNGQvaGQ0LzkzMTA0OTA0NjAxOTAuanBnfDc5OGM2NDQ3MDM2Mjk0ZjJjZWRlZTQ0NzJiYTM5OWIzNmU4NmUzNGE1MTM5MTkwNGU2YjZmNDQwYjI4MTAwMWU,1591884160984
"Samsung Galaxy Tab S7 FE 31.50 cm (12.4 inch) Tablet 6 GB RAM, 128 GB, Mystic Pink, T735NE",491996965,2,https://www.reliancedigital.in/samsung-galaxy-tab-s7-fe-31-50-cm-12-4-inch-tablet-6-gb-ram-128-gb-mystic-pink-t735ne/p/491996965,"Galaxy Tab S7 FE

* This Samsung Galaxy Tab S7 FE Tablet image is for illustration purpose only. Actual image may vary.

* This Samsung Galaxy Tab S7 FE Tablet image is for illustration purpose only. Actual image may vary.
The beauty in simplicity
Enjoy the sleekness of the Galaxy Tab S7 FE in your hands. The simple, unibody design looks refined with the minimal camera housing on the rear, and the slim form factor keeps your grip comfortable. In your choice of four iconic colors: Mystic Black, Mystic Silver, Mystic Green and Mystic Pink.

* This Samsung Galaxy Tab S7 FE Tablet image is for illustration purpose only. Actual image may vary.
Enjoy the immersive sights and sounds
Take in the vibrant colors of Galaxy Tab S7 FE's 31.50 cm (12.4 inch) display. The vibrant screen lets details shine, and the cinematic experience is enhanced with the incredible sound by AKG. Dual speakers and Dolby Atmos create immersive surround sound, to place you in the center of the scene onscreen.

* This Samsung Galaxy Tab S7 FE Tablet image is for illustration purpose only. Actual image may vary.
Level up your gaming - or your productivity
Equipped with a high-performing Snapdragon 750G chipset, Galaxy Tab S7 FE keeps your streaming and gaming smooth and fast. You can multi-task with ease and launch up to three apps all at once. And with over 1TB of storage when you use a microSD card, your important files can stay at hand.

* This Samsung Galaxy Tab S7 FE Tablet image is for illustration purpose only. Actual image may vary.
The battery to take on your busy days
Hours and hours will go by before you have to charge up the 10,090mAh (typical) battery. It lasts up to 13 hours when you're watching videos, giving you plenty of time for a streaming marathon. And with 45W Super Fast Charging, you can get back to full charge quick.

* This Samsung Galaxy Tab S7 FE Tablet image is for illustration purpose only. Actual image may vary.
Stay clear and centered on camera
Turn your Tab to landscape mode for a video call and the relocated front camera keeps you in the center of the screen. When you're talking, your voice comes through clearly with the 3 microphones embedded around the display.

* This Samsung Galaxy Tab S7 FE Tablet image is for illustration purpose only. Actual image may vary.
Feels like a real pen, but is so much more
With low latency and a soft tip, the included S Pen offers a natural writing experience. More than that, it turns handwriting into text in real time and lets you edit text with simple gestures. When you're done, it magnetically snaps to the side for easy carrying - no need to charge S Pen.

* This Samsung Galaxy Tab S7 FE Tablet image is for illustration purpose only. Actual image may vary.
Go ahead, put it all in writing
Turns handwriting into tidy text
Your writing instantly turns into text for easy organization. Write in a search bar or the title bar of Samsung Notes with S Pen, and then take down notes and convert those to text at a tap.

* This Samsung Galaxy Tab S7 FE Tablet image is for illustration purpose only. Actual image may vary.
Title and tag it
While you're taking notes, the app will automatically recommend titles by analyzing the content, and suggests hashtags to keep your notes organized.

* This Samsung Galaxy Tab S7 FE Tablet image is for illustration purpose only. Actual image may vary.
Express your inner Artist
The PENUP app is a social network for people who like to draw and interact with fellow creative types.

* This Samsung Galaxy Tab S7 FE Tablet image is for illustration purpose only. Actual image may vary.
Ready for your masterpiece with Clip Studio Paint
Use S Pen together with Clip Studio Paint to bring your vision to life. Illustrate and create comics with the help of storyboarding, inking, and other tools. The app is yours free for 6 months. Time to create art like the pros.

* This Samsung Galaxy Tab S7 FE Tablet image is for illustration purpose only. Actual image may vary.
Design like a professional
Start designing for free with thousands of customizable templates. Design marketing materials to presentations to social media posts all in the one place. Want to take your designs to the next level? Try Canva Pro and unlock beautiful content and time-saving tools.

* This Samsung Galaxy Tab S7 FE Tablet image is for illustration purpose only. Actual image may vary.
Let your thoughts flow with Noteshelf
Noteshelf gives you more choices in how you take notes. Whether you prefer using S Pen or typing, it's fluid note-taking that feels natural as you learn or create. With the Noteshelf Club, you can access hundreds of notebook covers and paper templates free, without a membership.

* This Samsung Galaxy Tab S7 FE Tablet image is for illustration purpose only. Actual image may vary.
Be your most productive with Samsung DeX
Samsung DeX gives you access to your apps and files, and lets you open things easily through the intuitive, simplified task bar. The App order layout syncs up with your App screen, so you quickly find the app you want. Use it with the Samsung Keyboard for even more convenience.

* This Samsung Galaxy Tab S7 FE Tablet image is for illustration purpose only. Actual image may vary.
Making the most of your multitasking
Multiply your screens with the enhanced multi-tasking experience on Galaxy Tab S7 FE. App Pair allows you to launch up to three apps at once - all you have to do is set it up on the Edge panel. These apps can be custom arranged to your specific needs, even with multiple instances of the same app.

* This Samsung Galaxy Tab S7 FE Tablet image is for illustration purpose only. Actual image may vary.
Move from device to device without missing a thing
Sync up Galaxy Tab S7 FE to a seamless multi-Galaxy experience. Move websites between devices or copy text on your tablet and paste it on your phone. If you get a call while watching a movie, Galaxy Buds automatically connect to your phone, then switch back to your tablet when you're done.

* This Samsung Galaxy Tab S7 FE Tablet image is for illustration purpose only. Actual image may vary.

* This Samsung Galaxy Tab S7 FE Tablet image is for illustration purpose only. Actual image may vary.

* This Samsung Galaxy Tab S7 FE Tablet image is for illustration purpose only. Actual image may vary.",49999.0,"₹49,999","17%(₹10,000)",https://www.reliancedigital.in/medias/Samsung-Tab-S7-FE-Tablets-491996965-i-1-1200Wx1200H-96Wx96H?context=bWFzdGVyfGltYWdlc3wyMjA4MHxpbWFnZS9qcGVnfGltYWdlcy9oYjAvaDAwLzk1OTM5MDgyMzIyMjIuanBnfDY3YzQxNTI0ZGNhZmNmN2I3YTE5NThhNWE2ZjdiOWIzMTQxNTA0Y2JiMzI0MGJkMzM4YTI0NWU1NTZiYjdkMGU,1626689054123
"iBall Bizniz Mini 20.32 cm (8.0 inch) Tablet 2 GB, 32 GB, Coal Black iT-KSA0066",491894190,2,https://www.reliancedigital.in/iball-bizniz-mini-20-32-cm-8-0-inch-tablet-2-gb-32-gb-coal-black-it-ksa0066/p/491894190,"Simplify Work and Play with iBall iTAB Bizniz Mini, a perfect match for a dynamic corporate world. Powered by Octa-Core 1.66GHz +1.2GHz processor, it makes working on Excel, Word, and Presentation simply effortless. Easy to carry, and comfortable to hold, pack your world in your iTAB Bizniz Mini, as it’s designed to simplify your life. The addition of Full-HD IPS 20.32 cm (8.0 inch) and a resolution of 1920 x 1200 pixels gives you the power of making business related decisions with ease.",10499.0,"₹10,499","30%(₹4,491)",https://www.reliancedigital.in/medias/iBall-IT-KSA0066-Tablets-491894190-i-1-1200Wx1200H-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNjY3NnxpbWFnZS9qcGVnfGltYWdlcy9oOWUvaGYwLzkzMjAwNTI4MTc5NTAuanBnfDVkYWI2NWRkYjJhMGMxMzhkZDEzYWY5ZDAyMTAwMmU0NDRjMTc1OWNlNjc3OTQ4ZjZmN2Q4YmI4YjlmMzZkZDE,1592581011793
"Samsung Galaxy 26.69 cm (10.5 inch) LTE Tablet 4GB, 64GB, Grey Tab A8 X205N (2022)",492574933,2,https://www.reliancedigital.in/samsung-galaxy-26-69-cm-10-5-inch-lte-tablet-4gb-64gb-grey-tab-a8-x205n-2022-/p/492574933,"












* This Samsung TabA8-X205N Tablet image is for illustration purpose only. Actual image may vary.",20999.0,"₹20,999","27%(₹7,800)",https://www.reliancedigital.in/medias/Samsung-X205N-Tablets-492574933-i-1-1200Wx1200H-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNjY1M3xpbWFnZS9qcGVnfGltYWdlcy9oYzEvaDYzLzk3NTY2NTU1ODMyNjIuanBnfDRjMDEzYmUxNTc5ZjBhMjNmYTJlZjFlZTU1NmYwODU5ZGRjODk5YWYzNTAwZWRmNDVhNWE3MzZmYjZlYjkzMWM,1642505918887
"Lenovo Tab M8 8505F 20.32 cm (8 inch) Tablet 2 GB RAM, 32 GB, Iron Grey, ZA5G0172IN with Wi-Fi Only",491997423,2,https://www.reliancedigital.in/lenovo-tab-m8-8505f-20-32-cm-8-inch-tablet-2-gb-ram-32-gb-iron-grey-za5g0172in-with-wi-fi-only/p/491997423,"STUNNING AND STYLISH MULTIMEDIA TABLET
Lenovo Tab M8 is the 2nd generation mainstream tablet that comes with standout metal design, and is tailored to make your entertainment experience richer. The tunning 20.32 cm (8 inch) HD display brings you a crispier and brighter visual world. More than that, no matter you are watching a thrilling online movie or playing an exciting game, the fast speed and stable connection can also make your enjoyment perfect. Non-stop entertainment is just ON. Lenovo Tab M8, your best companion device with stunning performance and stylish design. The device that everyone wants to have.
Stylish look & feel
Standout design with modern simplicity and refined with dedicated details, with up to 95 full metal cover, and 83% panel-to- body ratio.
Crispy HD Display
Step into a crispier and brighter visual world with the stunning  20.32 cm (8 inch) HD display. Never miss a detail.
Fast and Powerful
Non-stop game playing and video streaming, packed with Quad-Core 2.0 GHz, and 2.4/5 GHz WiFi dual band support.
Long Battery Life
5000+ mAh battery capacity for the whole day usage with browsing and watching.
True Eye Care Protection
With special light and display technology development, Lenovo tablets ensure that the display lowers harmful blue light when appropriate to reduce strain on the eyes.",10499.0,"₹10,499","25%(₹3,501)",https://www.reliancedigital.in/medias/Lenovo-ZA5G0172IN-M8-Tablet-491997423-i-1-1200Wx1200H-96Wx96H?context=bWFzdGVyfGltYWdlc3wzMjU3MHxpbWFnZS9qcGVnfGltYWdlcy9oNjYvaDAwLzk2MTUzNzQ1NDkwMjIuanBnfGU4OGZhYTgyMTg1MTUzZDdkM2UwNjY5YjliNjYxMWExMzY2MzRkYjllZDE3MGMyMzQ2MjYyZTMwOGNiM2Q5YzA,1629297360150
"Samsung Galaxy 26.69 cm (10.5 inch) LTE Tablet 3GB, 32GB, Grey Tab A8 X205N (2022)",492574930,2,https://www.reliancedigital.in/samsung-galaxy-26-69-cm-10-5-inch-lte-tablet-3gb-32gb-grey-tab-a8-x205n-2022-/p/492574930,"












* This Samsung TabA8-X205N Tablet image is for illustration purpose only. Actual image may vary.",18999.0,"₹18,999","28%(₹7,400)",https://www.reliancedigital.in/medias/Samsung-X205N-Tablets-492574930-i-1-1200Wx1200H-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNjY1M3xpbWFnZS9qcGVnfGltYWdlcy9oYjgvaDU2Lzk3NTY2NjQxMDI5NDIuanBnfDZkMTY4OWZmOWQ5OWY0YzEyMmRhYWUzY2QwZmU0YjJiYzUxNGY2NTMzOTYxNjk3YWYxYmE4ZGE0Njc1NGVkZTc,1642175748497
