product_link,product_Name,price,list_price,discount_price,image
https://www.reliancedigital.in/amazon-echo-dot-3rd-gen-new-and-improved-smart-speaker-with-alexa-360-degree-sound-black/p/491431035,"Amazon Echo Dot (3rd Gen) New and Improved Smart Speaker with Alexa, 360 degree Sound, Black","₹,3,499.00",,,https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/amazon-echo-dot-3rd-gen---new-and-improved-smart-speaker-with-alexa-white/p/491431033,"Amazon Echo Dot (3rd Gen) - New and Improved Smart Speaker with Alexa, White","₹,3,499.00",,,https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/all-new-amazon-echo-plus-2nd-gen---premium-sound-with-a-built-in-smart-home-hub-black/p/491431036,"All-new Amazon Echo Plus (2nd Gen) - Premium Sound with a Built-in Smart Home Hub, Black","₹,14,999.00",,,https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/saregama-carvaan-tamil---portable-music-player-with-5000-preloaded-songs-fm-bt-aux-up-to-5-hrs-playtime-cherrywood-red-/p/491430933,"Saregama Carvaan Tamil - Portable Music Player with 5000 Preloaded Songs, FM/BT/AUX, Up to 5 hrs playtime (Cherrywood Red)","₹,6,190.00","₹,6,390.00",3%(₹200),https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/saregama-carvaan-mini-2-0-hindi-bluetooth-multimedia-speaker-supports-pendrive-aux-in-bluetooth-up-to-4-hours-playtime-regal-blue-/p/491430983,"Saregama Carvaan Mini 2.0 Hindi Bluetooth Multimedia Speaker, Supports pendrive, Aux in, Bluetooth, Up to 4 hours playtime (Regal Blue)","₹,2,199.00","₹,2,490.00",12%(₹291),https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/soundbot-sb571-multimedia-speaker-black/p/491431135,"SoundBot SB571 Multimedia Speaker, Black","₹,1,699.00","₹,3,990.00","57%(₹2,291)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/soundbot-sb526-multimedia-speaker-built-in-mic-fm-tuner-upto-10-hrs-of-playtime-black/p/491431130,"SoundBot SB526 Multimedia Speaker, Built-in mic FM tuner, upto 10 hrs of playtime, Black","₹,2,499.00","₹,4,990.00","50%(₹2,491)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/soundbot-sb571-multimedia-speaker-black-red/p/491431136,"SoundBot SB571 Multimedia Speaker, Black/Red","₹,1,699.00","₹,3,990.00","57%(₹2,291)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/soundbot-sb574-multimedia-speaker/p/491431140,SoundBot SB574 Multimedia Speaker,"₹,1,799.00","₹,3,990.00","55%(₹2,191)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/saregama-carvaan-mini-2-0-hindi--bluetooth-multimedia-speaker-supports-pendrive-aux-in-bluetooth-up-to-4-hours-playtime-moonlight-black-/p/491430981,"Saregama Carvaan Mini 2.0 Hindi -Bluetooth Multimedia Speaker, Supports pendrive, Aux in, Bluetooth, Up to 4 hours playtime (Moonlight Black)","₹,2,190.00","₹,2,490.00",12%(₹300),https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/saregama-carvaan-mini-2-0-bluetooth-multimedia-speaker-sapphire-green/p/491430986,"SAREGAMA Carvaan Mini 2.0 Bluetooth Multimedia Speaker, Sapphire Green","₹,2,190.00","₹,2,490.00",12%(₹300),https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/jbl-flip-5-20-w-ipx7-waterproof-bluetooth-speaker-with-partyboos-ipx7-waterproof-upto-12-hrs-of-palytime-jbl-bass-radiator-black/p/491630495,"JBL Flip 5 20 W IPX7 Waterproof Bluetooth Speaker with PartyBoos, IPX7 Waterproof, upto 12 hrs of palytime, JBL Bass Radiator, Black","₹,8,887.00","₹,10,999.00","19%(₹2,112)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
