product_link,product_Name,price,list_price,discount_price,image
https://www.reliancedigital.in/amazon-echo-dot-3rd-gen-new-and-improved-smart-speaker-with-alexa-360-degree-sound-black/p/491431035,"Amazon Echo Dot (3rd Gen) New and Improved Smart Speaker with Alexa, 360 degree Sound, Black","₹,3,499.00",,,https://www.reliancedigital.in/medias/Amazon-Echo-dot-3-0-BK-Computer-Speaker-491431035-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w2NDM4fGltYWdlL2pwZWd8aW1hZ2VzL2hjZC9oMDcvOTA1OTQ0NzI0Mjc4Mi5qcGd8NmY3NDc0YjVjZjQ2ZmYyNmQ2MTA5NjhhZWFhYzQ5YzQ3YzE5Yzc1NjZhMGE1OWQ4NjhmN2U2YWUyODc5NDA4NQ
https://www.reliancedigital.in/amazon-echo-dot-3rd-gen---new-and-improved-smart-speaker-with-alexa-white/p/491431033,"Amazon Echo Dot (3rd Gen) - New and Improved Smart Speaker with Alexa, White","₹,3,499.00",,,https://www.reliancedigital.in/medias/Amazon-Echo-dot-3-0-WHT-Computer-Speaker-491431033-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w3Njg5fGltYWdlL2pwZWd8aW1hZ2VzL2g2My9oNTcvOTA1OTQ0NzU3MDQ2Mi5qcGd8M2UyZDExOGYxYzM0MmQ5YjM1NzhhNjAzYmYyMDY4MWZjMzc4MmIyN2VhOTg2NjkwNmFmNmE0NzVlN2JlN2JhZA
https://www.reliancedigital.in/all-new-amazon-echo-plus-2nd-gen---premium-sound-with-a-built-in-smart-home-hub-black/p/491431036,"All-new Amazon Echo Plus (2nd Gen) - Premium Sound with a Built-in Smart Home Hub, Black","₹,14,999.00",,,https://www.reliancedigital.in/medias/Amazon-Echo-Plus-2-0-BK-Computer-Speaker-491431036-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMTkyNXxpbWFnZS9qcGVnfGltYWdlcy9oOWQvaDNhLzkwNDM2OTQ0NTI3NjYuanBnfDBhYjRhYWFlZmQwYjI3ZDM1OGNmMDgxYjNiZTIyNDA4Mzg3OGI2NTlmYjQ1MTdjYjQ2ZjJjYTUxOTU1ZThmZWQ
https://www.reliancedigital.in/saregama-carvaan-tamil---portable-music-player-with-5000-preloaded-songs-fm-bt-aux-up-to-5-hrs-playtime-cherrywood-red-/p/491430933,"Saregama Carvaan Tamil - Portable Music Player with 5000 Preloaded Songs, FM/BT/AUX, Up to 5 hrs playtime (Cherrywood Red)","₹,6,190.00","₹,6,390.00",3%(₹200),https://www.reliancedigital.in/medias/SAREGAMA-CARVAAN-TAM-CHRYWD-Computer-Speakers-491430933-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxODAzOHxpbWFnZS9qcGVnfGltYWdlcy9oZGQvaDNhLzkwMzI1Nzk5NzMxNTAuanBnfDAxNmQ0Y2UwYjI5MmZkOTU3MzBkZDU0YzY3NjVmZjViYWIyYWRlM2ZjZmRmYjU4NjRhODUxM2U5Njk0NjIxOTE
https://www.reliancedigital.in/saregama-carvaan-mini-2-0-hindi-bluetooth-multimedia-speaker-supports-pendrive-aux-in-bluetooth-up-to-4-hours-playtime-regal-blue-/p/491430983,"Saregama Carvaan Mini 2.0 Hindi Bluetooth Multimedia Speaker, Supports pendrive, Aux in, Bluetooth, Up to 4 hours playtime (Regal Blue)","₹,2,199.00","₹,2,490.00",12%(₹291),https://www.reliancedigital.in/medias/Saregama-CARVAANMINI-2-0-BL-Computer-Speakers-491430983-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxOTYwNXxpbWFnZS9qcGVnfGltYWdlcy9oNTEvaDIxLzk2NzY0NTM2MDk1MDIuanBnfGY1NzE0ZTJmMGM4YmRlMmRkOTI5Y2ZmMmIyOWU2ZDIzNDliNzQyZDU5M2VlOGMzZmY2NTMzNDRjMWQxNGNiODg
https://www.reliancedigital.in/soundbot-sb571-multimedia-speaker-black/p/491431135,"SoundBot SB571 Multimedia Speaker, Black","₹,1,699.00","₹,3,990.00","57%(₹2,291)",https://www.reliancedigital.in/medias/SoundBot-SB571-Computer-Speaker-491431135-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyNDEyOXxpbWFnZS9qcGVnfGltYWdlcy9oY2UvaDg4LzkwNjgwOTkyMzk5NjYuanBnfDQ3N2NkYzBlZDQ4MmUyNmE3OTg0OTAwMWY0YTRjM2YyMWE0ZTkxM2JmZWExZWVkZWY4YjQyNmEzN2JkNTgwNmU
https://www.reliancedigital.in/soundbot-sb526-multimedia-speaker-built-in-mic-fm-tuner-upto-10-hrs-of-playtime-black/p/491431130,"SoundBot SB526 Multimedia Speaker, Built-in mic FM tuner, upto 10 hrs of playtime, Black","₹,2,499.00","₹,4,990.00","50%(₹2,491)",https://www.reliancedigital.in/medias/SoundBot-SB526-Computer-Speaker-491431130-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wzMDc3OHxpbWFnZS9qcGVnfGltYWdlcy9oYzYvaGRlLzkwNjgwOTUzMDc4MDYuanBnfDRjOWRjZTY4YWYxNDI5YjdiZGQyOGY4ZGNmZDE2NjdlOTcxMzkxMTc3OTA3NDdjMzFhOGJmY2UxZTVkZWI2MDI
https://www.reliancedigital.in/soundbot-sb571-multimedia-speaker-black-red/p/491431136,"SoundBot SB571 Multimedia Speaker, Black/Red","₹,1,699.00","₹,3,990.00","57%(₹2,291)",https://www.reliancedigital.in/medias/SoundBot-SB571-BLK-RED-Computer-Speaker-491431136-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wzODY2MXxpbWFnZS9qcGVnfGltYWdlcy9oMmUvaDcxLzkwNjgxMDUxMzgyMDYuanBnfDFjZjViNTI4MjMwNzgzZmFiNzE0ZWI2MjYyMzhmZGUyNGJlNjJlYWNjZDQ0MDMwNGU3MzU3MWI3OTBiMTUzMzU
https://www.reliancedigital.in/soundbot-sb574-multimedia-speaker/p/491431140,SoundBot SB574 Multimedia Speaker,"₹,1,799.00","₹,3,990.00","55%(₹2,191)",https://www.reliancedigital.in/medias/SoundBot-SB574-Computer-Speaker-491431140-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyNDcxMnxpbWFnZS9qcGVnfGltYWdlcy9oM2EvaDcwLzkwNjgxMDM4Mjc0ODYuanBnfDE0MDA2M2YyMjk2NzVmODdkNjY2ZmZiNmNjMjM1NDgzOWJmNGQ5NDJkYmUxOTA5NmY5OGIzZGE3YWNhZDA5M2Q
https://www.reliancedigital.in/saregama-carvaan-mini-2-0-hindi--bluetooth-multimedia-speaker-supports-pendrive-aux-in-bluetooth-up-to-4-hours-playtime-moonlight-black-/p/491430981,"Saregama Carvaan Mini 2.0 Hindi -Bluetooth Multimedia Speaker, Supports pendrive, Aux in, Bluetooth, Up to 4 hours playtime (Moonlight Black)","₹,2,190.00","₹,2,490.00",12%(₹300),https://www.reliancedigital.in/medias/Saregama-CARVAANMINI-2-0-BK-Computer-Speakers-491430981-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxOTY0OHxpbWFnZS9qcGVnfGltYWdlcy9oOGEvaDYzLzk2NzY0NTQyNjQ4NjIuanBnfDdlMmVmMTNhMTlhYTM3NGE0M2I4ZmJkMDJjYjg0MTYxNjM3Y2FmZGVhNzQ4ZjA2YmQxYjY0ZjQzNzJjYTJlZTE
