Title,Detail_price,Highlights,Other_Details,description,Teams_conditions,images_all
Campus - MOXIE White Men's Sports Running Shoes,899,"Campus,Color:White,Manufacturer's Name & Address:Campus Activewear Pvt Ltd D-1 Udyog Nagar Main Rohtak Road New Delhi -110041,Closure:Lace-Up,Outer Material:Mesh,BIS/ISI License number:NA,BIS/ISI required:NA,Model Name:MOXIE,SUPC: SDL402886190","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1  ,Manufacturer's Name & Address,Campus Activewear Pvt Ltd D-1 Udyog Nagar Main Rohtak Road New Delhi -110041  ,Packer's Name & Address,Campus Activewear Pvt Ltd D-1 Udyog Nagar Main Rohtak Road New Delhi -110041  ,Marketer's Name & Address,Campus Activewear Ltd  ,Importer's Name & Address,Campus Activewear Pvt Ltd D-1 Udyog Nagar Main Rohtak Road New Delhi -110041  ","
This Campus collection will upgrade your style definition with updated technology which makes the shoes more durable and comfortable. The shoes has full length air unit and adaptive cushioning technology which resists the shoes to D-shape. The air unit under forefoot and heel of the shoe provides smooth landing, absortion to shock and quick rebounce.",The images represent actual product though color of the image and product may slightly differ.,"https://n3.sdlcdn.com/imgs/k/l/0/Campus-MOXIE-White-Men-s-SDL402886190-2-c1939.jpg,https://n4.sdlcdn.com/imgs/k/l/0/Campus-MOXIE-White-Men-s-SDL402886190-3-afe52.jpg,https://n2.sdlcdn.com/imgs/k/l/0/Campus-MOXIE-White-Men-s-SDL402886190-4-57e76.jpg,https://n3.sdlcdn.com/imgs/k/l/0/Campus-MOXIE-White-Men-s-SDL402886190-5-abb8a.jpg,https://n4.sdlcdn.com/imgs/k/l/0/Campus-MOXIE-White-Men-s-SDL402886190-6-dd8ea.jpg"
ASIAN - OXYGEN-05 White Men's Sports Running Shoes,1149,"ASIAN,Color:Black,Shoe Weight:Lightweight(300 gms to 599 gms),Manufacturer's Name & Address:Plot No-303,Sec-17 Hsiidc Indl. Estate Footwear Park,Bahadurgarh,Haryana 124522,Closure:Lace-Up,Cushioning:High,Outer Material:Fabric,BIS/ISI License number:NA,BIS/ISI required:NA,SUPC: SDL006507716","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1  ,Manufacturer's Name & Address,Plot No-303, Sec-17 Hsiidc Indl. Estate Footwear Park, Bahadurgarh, Haryana 124508  ,Packer's Name & Address,T1\100, GROUND FLOOR, INDUSTRIAL AREA PHASE -1,MANGOLPURI, NEW DELHI 110084  ,Marketer's Name & Address, ,Importer's Name & Address,Not Aplicable  ","
",The images represent actual product though color of the image and product may slightly differ.,"https://n3.sdlcdn.com/imgs/k/k/n/ASIAN-OXYGEN-05-White-Men-SDL006507716-2-ca24a.jpg,https://n3.sdlcdn.com/imgs/k/k/n/ASIAN-OXYGEN-05-White-Men-SDL006507716-3-90e79.jpg,https://n2.sdlcdn.com/imgs/k/k/n/ASIAN-OXYGEN-05-White-Men-SDL006507716-4-de865.jpg,https://n2.sdlcdn.com/imgs/k/k/n/ASIAN-OXYGEN-05-White-Men-SDL006507716-5-a0f02.jpg,https://n4.sdlcdn.com/imgs/k/k/n/ASIAN-OXYGEN-05-White-Men-SDL006507716-6-f0fa9.jpg"
ASIAN - Gray Men's Sports Running Shoes,489,"Sizes are in UK,ASIAN,Color:Gray,Shoe Weight:Light Weight,Manufacturer's Name & Address:T1/100 BASEMENT GF-1/2, INDUSTRIAL AREA PHASE-1 MANGOLPURI, New Delhi, Delhi, 110083, IN,Sole Material:EVA,Closure:Lace-Up,Outer Material:Mesh,BIS/ISI License number:NA,BIS/ISI required:NA,SUPC: SDL189116321","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1  ,Manufacturer's Name & Address,T1/100 BASEMENT GF-1/2, INDUSTRIAL AREA PHASE-1 MANGOLPURI, New Delhi, Delhi, 110083, IN  ,Packer's Name & Address,T1/100 BASEMENT GF-1/2, INDUSTRIAL AREA PHASE-1 MANGOLPURI, New Delhi, Delhi, 110083, IN  ,Marketer's Name & Address, ,Importer's Name & Address,Not Applicable  ","
","Be the winner at the state level competition by wearing this gray and green coloured lace up sports shoes, which is presented by the prestigious house of Asian. Styled according to the latest trends, these shoes ensure that your morning walk look takes a stylish turn. These must have shoes are professionally crafted from high quality material, which makes them long lasting and sturdy. Team it with a pair of tracks and casual shirt to look good. Collect endless compliments for this stylish pick this season. Avail it at a very low rate from this famous brand, which has been offering premium quality products at a very reasonable price since a long time.,The images represent actual product though color of the image and product may slightly differ.","https://n4.sdlcdn.com/imgs/k/k/x/ASIAN-Gray-Men-s-Sports-SDL189116321-2-08e39.jpg,https://n1.sdlcdn.com/imgs/k/k/x/ASIAN-Gray-Men-s-Sports-SDL189116321-3-5b1f1.jpg,https://n2.sdlcdn.com/imgs/k/k/x/ASIAN-Gray-Men-s-Sports-SDL189116321-4-ce7ec.jpg,https://n2.sdlcdn.com/imgs/k/k/x/ASIAN-Gray-Men-s-Sports-SDL189116321-5-8bc67.jpg,https://n1.sdlcdn.com/imgs/k/l/m/ASIAN-Gray-Men-s-Sports-SDL189116321-6-cdf9c.jpeg,https://n3.sdlcdn.com/imgs/h/4/3/ASIAN-Gray-Running-Shoes-SDL189116321-7-a29d5.jpeg,https://n1.sdlcdn.com/imgs/h/4/3/ASIAN-Gray-Running-Shoes-SDL189116321-8-d8251.jpeg,https://n2.sdlcdn.com/imgs/c/y/6/Asian-Gray-Lace-Lifestyle-Shoes-SDL189116321-12-6e8f5.jpg"
Campus STREET-RUN Navy  Men's Sports Running Shoes,1175,"Campus,Color: Black,Running Type: Road,Outer Material:,Closure: Lace-Up,Cushioning: Medium,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,SUPC: SDL993906674","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1 Pair of Shoes  ,Manufacturer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ,Packer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ,Marketer's Name & Address,Campus Activewear Pvt. Ltd.  ,Importer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ","
Take on those extra miles in comfort and style with the running shoe by Campus. Its full-length phylon sole provides energized cushioning and shock absorption underfoot with the added rebound to help you go further than you thought possible. This running shoe features an  cushion heel counter to hold your foot in position. Meanwhile, the sock liner provides an extra layer of cushioning and shock absorption, even over long distances.",The images represent actual product though color of the image and product may slightly differ.,"https://n4.sdlcdn.com/imgs/j/s/k/Campus-STREET-RUN-Navy-Running-SDL993906674-2-64c01.jpeg,https://n1.sdlcdn.com/imgs/j/s/k/Campus-STREET-RUN-Navy-Running-SDL993906674-3-14775.jpeg,https://n4.sdlcdn.com/imgs/j/s/k/Campus-STREET-RUN-Navy-Running-SDL993906674-4-d8fec.jpeg,https://n2.sdlcdn.com/imgs/j/s/k/Campus-STREET-RUN-Navy-Running-SDL993906674-5-280bc.jpeg,https://n1.sdlcdn.com/imgs/j/s/k/Campus-STREET-RUN-Navy-Running-SDL993906674-6-b43ca.jpeg"
JQR JQR MAX Black Running Shoes,1249,"Color:Gray,Shoe Weight:Light Weight,Manufacturer's Name & Address:MAHALAXMI ENTERPRISES,BIS/ISI License number:NA,BIS/ISI required:NA,SUPC: SDL299538010","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,MAHALAXMI ENTERPRISES  ,Packer's Name & Address,MAHALAXMI ENTERPRISES  ,Marketer's Name & Address,MAHALAXMI ENTERPRISES  ,Importer's Name & Address,NA  ","
Upper Features: Style and cushioned comfort delivers in the JQR sports shoe. This lace-up sneaker features a soft athletic engineered knit upper with an Air-Cooled Memory Foam comfort insole and cushioned midsole. Insole Features: Memory Foam Insole to give you 24X7 comfort. Sole Features: Super flexible traction outsole designed to provide natural momentum with every step. Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner.",The images represent actual product though color of the image and product may slightly differ.,"https://n1.sdlcdn.com/imgs/j/x/3/JQR-JQR-MAX-Black-Running-SDL299538010-2-6eb82.jpg,https://n2.sdlcdn.com/imgs/j/x/3/JQR-JQR-MAX-Black-Running-SDL299538010-3-f2e04.jpg,https://n3.sdlcdn.com/imgs/j/x/3/JQR-JQR-MAX-Black-Running-SDL299538010-4-b9194.jpg,https://n1.sdlcdn.com/imgs/j/x/3/JQR-JQR-MAX-Black-Running-SDL299538010-5-8aeb0.jpg,https://n2.sdlcdn.com/imgs/j/x/3/JQR-JQR-MAX-Black-Running-SDL299538010-6-999a0.jpg,https://n2.sdlcdn.com/imgs/j/x/3/JQR-JQR-MAX-Black-Running-SDL299538010-7-f1d64.jpg"
Campus RECHARGE Black  Men's Sports Running Shoes,1099,"Campus,Color: Black,Running Type: Road,Outer Material:,Closure: Lace-Up,Cushioning: High,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,SUPC: SDL813434198","Country of Origin or Manufacture or Assembly,India ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address, ,Packer's Name & Address, ,Marketer's Name & Address, ,Importer's Name & Address, ","
",The images represent actual product though color of the image and product may slightly differ.,"https://n4.sdlcdn.com/imgs/i/c/2/Campus-Black-Running-Shoes-SDL813434198-2-61c60.jpeg,https://n4.sdlcdn.com/imgs/i/c/2/Campus-Black-Running-Shoes-SDL813434198-3-9185d.jpeg,https://n2.sdlcdn.com/imgs/i/c/2/Campus-Black-Running-Shoes-SDL813434198-4-20cc0.jpeg,https://n1.sdlcdn.com/imgs/i/c/2/Campus-Black-Running-Shoes-SDL813434198-5-46145.jpeg"
Campus NASA Navy Men's Sports Running Shoes,1099,"Campus,Color: Navy,Running Type: Road,Outer Material:,Closure: Lace-Up,Cushioning: Medium,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,SUPC: SDL569837603","Country of Origin or Manufacture or Assembly,India ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1-PAIR  ,Manufacturer's Name & Address,Campus Activewear Pvt. Ltd.D-1, Udyog Nagar, Main Rohtak Road, New Delhi - 110041  ,Packer's Name & Address, ,Marketer's Name & Address, ,Importer's Name & Address, ","
""Nasa comes with foamlite technology. The shoe feels, and even looks, soft and plush. Yet, it provides incredible support to help you run your best, from your first 5K to  your latest marathon and delivers an ultra-responsive feel with each stride.""",The images represent actual product though color of the image and product may slightly differ.,"https://n1.sdlcdn.com/imgs/j/c/9/Campus-NASA-Navy-Running-Shoes-SDL569837603-2-91f88.jpeg,https://n4.sdlcdn.com/imgs/j/c/9/Campus-NASA-Navy-Running-Shoes-SDL569837603-3-b4789.jpeg,https://n1.sdlcdn.com/imgs/j/c/9/Campus-NASA-Navy-Running-Shoes-SDL569837603-4-0dbf0.jpeg,https://n4.sdlcdn.com/imgs/j/c/9/Campus-NASA-Navy-Running-Shoes-SDL569837603-5-0198f.jpeg"
ASIAN - HATTRICK-26 Black Men's Sports Running Shoes,699,"ASIAN,Color:Gray,Shoe Weight:Light Weight,Manufacturer's Name & Address:ASIAN FOOTWEAR PVT.LTD,Closure:Lace-Up,Outer Material:Fabric,Pack:Pack of 1,BIS/ISI License number:NA,BIS/ISI required:NA,SUPC: SDL618146516","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1  ,Manufacturer's Name & Address,ASIAN FOOTWEAR PVT.LTD  ,Packer's Name & Address,ASIAN RETAIL VENTURES   ,Marketer's Name & Address, ,Importer's Name & Address,NA  ","
",The images represent actual product though color of the image and product may slightly differ.,"https://n2.sdlcdn.com/imgs/k/i/x/ASIAN-HATTRICK-26-Black-Men-SDL618146516-2-ecece.jpg,https://n2.sdlcdn.com/imgs/k/i/x/ASIAN-HATTRICK-26-Black-Men-SDL618146516-3-a0694.jpg,https://n3.sdlcdn.com/imgs/k/i/x/ASIAN-HATTRICK-26-Black-Men-SDL618146516-4-d4839.jpg,https://n1.sdlcdn.com/imgs/k/i/x/ASIAN-HATTRICK-26-Black-Men-SDL618146516-5-8da39.jpg,https://n3.sdlcdn.com/imgs/k/i/x/ASIAN-HATTRICK-26-Black-Men-SDL618146516-6-9313d.jpg"
Campus MAX Grey Men's Sports Running Shoes,899,"Campus,Color: Gray,Running Type: Road,Outer Material:,Closure: Lace-Up,Cushioning: Medium,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,SUPC: SDL043019599","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ,Packer's Name & Address,Campus Activewear Pvt. Ltd.  ,Marketer's Name & Address,Campus Activewear Pvt. Ltd.  ,Importer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ","
This Campus MAX collection will upgrade your style definition with Pillofoam technology which helps in setting the pressure in order to have a cell structure that's consistent, giving it a feel of softness and cushioning. It has 50% more cushioning than a usual sole for your easy walk.  ",The images represent actual product though color of the image and product may slightly differ.,"https://n2.sdlcdn.com/imgs/k/d/m/Campus-MAX-Gray-Running-Shoes-SDL043019599-2-1f9b1.jpg,https://n4.sdlcdn.com/imgs/k/d/m/Campus-MAX-Gray-Running-Shoes-SDL043019599-3-3ae69.jpg,https://n1.sdlcdn.com/imgs/k/d/m/Campus-MAX-Gray-Running-Shoes-SDL043019599-4-38f4c.jpg,https://n4.sdlcdn.com/imgs/k/d/m/Campus-MAX-Gray-Running-Shoes-SDL043019599-5-c6c84.jpg,https://n3.sdlcdn.com/imgs/k/d/m/Campus-MAX-Gray-Running-Shoes-SDL043019599-6-1726f.jpg"
Campus SYNDER White Running Shoes,899,"Color:White,Shoe Weight:Light Weight,Manufacturer's Name & Address:Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041,SUPC: SDL365214206","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ,Packer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ,Marketer's Name & Address,Campus Activewear Pvt. Ltd.  ,Importer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ","
escalate your runs and jogs with this up to scratch pair of running shoes from Campus. These shoes come with Active Cell technology which makes it feather-light and a rubberized midsole material which is soft and comfortable with a grippy outsole which is abrasion resistant, paired with a breathable and comfortable superior quality mesh upper. Wear these to the gym or during your runs and be the most stylish athlete, wherever you are.",The images represent actual product though color of the image and product may slightly differ.,"https://n1.sdlcdn.com/imgs/j/v/q/Campus-SYNDER-White-Running-Shoes-SDL365214206-2-fd8d9.jpg,https://n4.sdlcdn.com/imgs/j/v/q/Campus-SYNDER-White-Running-Shoes-SDL365214206-3-a71e3.jpg,https://n3.sdlcdn.com/imgs/j/v/q/Campus-SYNDER-White-Running-Shoes-SDL365214206-4-58538.jpg,https://n3.sdlcdn.com/imgs/j/v/q/Campus-SYNDER-White-Running-Shoes-SDL365214206-5-df275.jpg,https://n1.sdlcdn.com/imgs/j/v/q/Campus-SYNDER-White-Running-Shoes-SDL365214206-6-59a7a.jpg"
