name,PID,pro_url,price,image
"OGeneral CET Series 2 Ton (5 Star - Inverter) Split AC with Double Swing Automatic 3D Airflow, PM 2.5 Filter, Copper Condenser (ASGG30CETA-B)",21911,Ogeneral 2.5 Ton 4 Star Split Inverter Air Conditioner (ASGG30CETA-B-4S),112630.0,9b1d0104-24ea-4966-908b-9e2e0376286a22011258.jpg
"OGeneral CLW Series Tropical Inverter 1.8 Ton (4 Star - Inverter) Split AC with Coanda Airflow, Powerful Mode, Tropical Product Design (ASGA22CLWA-B)",19732,Ogeneral 1.8 Ton 4 Star Split Inverter Air Conditioner (ASGA22CLWA-B),71580.0,7b652bc2-e2ad-415d-972e-ed6c5e3ec39622311300.jpg
"OGeneral BAW Series 1.7 Ton (3 Star) Efficient and Tropical Window AC with Wide Airflow, Super Wave Technology (AXGB24BAWA-B)",21882,Ogeneral 2 Ton 3 Star Window AIr Conditioner (AXGB24BAWA-B-3S),54740.0,a552284d-dedf-449d-ad35-9fc12114bf1e22311103.jpg
"OGeneral BMW Series 1.5 Ton (3 Star) Split AC with Higher Moisture Removal Rate, Removal Rate, 4 Speed Fan Control, Coanda Airflow (ASGA18BMWA-B)",18026,Ogeneral 1.5 Ton 3 Star Split Air Conditioner (ASGA18BMWA-B),58940.0,73c53925-50dc-4817-b463-60256107ed7721021047.jpg
"OGeneral BMW Series 2 Ton (3 Star) Split AC with Higher Moisture Removal Rate, Removal Rate, 4 Speed Fan Control, Coanda Airflow (ASGA24BMWA-B)",18233,Ogeneral 2 Ton 3 Star Split Air Conditioner (ASGA24BMWA-B),74740.0,4ab15f93-f6c6-4ec6-b91d-c5eac993778021301300.jpg
Blue Star 1 Ton 3 Star Window Air Conditioner (WFB312LN),21839,Blue Star 1 Ton 3 Star Window Air Conditioner (WFB312LN),33000.0,d161368c-687d-4ab7-93e5-af47696385be22291222.jpg
"Godrej 1 Ton (3 Star - Inverter) 5 in 1 Convertible Split AC with Active Carbon Filter, 100% Copper Condenser, Silent Operation (SIC 12TTC3-WWA)",22670,Godrej 1 Ton 3 Star Split Inverter Air Conditioner (SIC12TTC3-W),41900.0,4ddec474-50b7-44fd-b65d-75a51d6495eb23140523.jpg
Amstrad 1 Ton 3 Star Split Inverter Air Conditioner with Silent Operation & Accurate Sense Technology  (AM133SAI),23250,Amstrad 1 Ton 3 Star Split Inverter Air Conditioner with Silent Operation & Accurate Sense Technology  (AM133SAI),59990.0,daf6ae17-a176-46ce-a38a-e775dce0cdda23251243.jpg
"Daikin Standard Series 1 Ton (3 Star) Split AC with Copper Condenser, PM 2.5 Filter, Coanda Airflow (FTL35UV)",19490,Daikin 1 Ton 3 Star Split Air Conditioner (FTL35UV),46000.0,f1551234-9395-4433-8039-8f6793b06db122100814.jpg
"Daikin Standard Plus Series 1 Ton (3 Star - Inverter) Split AC with 3D Airflow, Copper Condenser, Power Airflow Dual Flaps (ATKL35UV)",21036,Daikin 1 Ton 3 Star Split Inverter Air Conditioner (ATKL35UV-3S),48200.0,cb46d45e-5f7d-4bd2-96e2-dfad6c9eb20723251125.jpg
"OGeneral BAW Series 1.1 Ton (4 Star) Efficient and Tropical Window AC with Wide Airflow, Super Wave Technology (AFGB12BAWA-B)",21894,Ogeneral 1.1 Ton 4 Star Window Air Conditioner (AFGB12BAWA-B-4S),36840.0,147d299b-8966-4b2e-9916-629efd49fa3022011025.jpg
Amstrad 1.5 Ton 3 Star Split Inverter Air Conditioner with Silent Operation & Accurate Sense Technology (AM203SAI),23251,Amstrad 1.5 Ton 3 Star Split Inverter Air Conditioner with Silent Operation & Accurate Sense Technology (AM203SAI),66990.0,e74c746b-4eaa-472f-a281-55187fbff02f23251243.jpg
"Mitsubishi Electric 1 Ton (2 Star) Split AC with 100% Copper Heat Exchanger, Tropical Technology, Powerful Cool (MS-GS13VF-DA1)",22656,Mitsubishi Electric 1 Ton 2 Star Air Conditioner (MSGS13VF-DA1),43700.0,04228580-c42d-4501-b543-0d512e9d5a7b22070632.jpg
"Daikin Standard Plus Series 1.5 Ton (3 Star - Inverter) Split AC with 3D Airflow, Copper Condenser, Power Airflow Dual Flaps (ATKL50UV)",21037,Daikin 1.5 Ton 3 Star Split Inverter Air Conditioner (ATKL50UV-3S),58400.0,33bea28d-b63b-4b9d-93c3-c95d670320a622181130.jpg
"Daikin Standard Series 1 Ton (5 Star - Inverter) Split AC with 3D Airflow,  Copper Condenser, PM 2.5 Filter (FTKM35UV)",19489,Daikin 1 Ton 5 Star Split Inverter Air Conditioner (FTKM35UV),55500.0,cd560e88-2ecb-43f8-9bd8-8061e51ab6c422100812.jpg
"Mitsubishi Electric Kirigamine Series 1 Ton (3 Star - Inverter) Split AC with PM 2.5 Filter, Fast Cooling (MSY-RJS13VF-DA1)",22659,Mitsubishi Electric 1 Ton 3 Star Inverter Air Conditioner (MSYRJS13VF-DA1),50500.0,8491681f-5e1e-4de4-b11a-8a66bb22f3d122070644.jpg
"Godrej 2 Ton (3 Star - Inverter) 5 in 1 Convertible Split AC with Active Carbon Filter, 100% Copper Condenser, Silent Operation (SIC 24ITC3-WWA)",22669,Godrej 2 Ton 3 Star Split Inverter Air Conditioner (SIC24ITC3-W),60990.0,a929db30-0ae6-4129-89c4-2e26a1848e6423131151.jpg
"OGeneral BAW Series 1.5 Ton (4 Star) Efficient and Tropical Window AC with Wide Airflow, Super Wave Technology (AXGB18BAWA-B)",21897,Ogeneral 1.5 Ton 4 Star Window Air Conditioner (AXGB18BAWA-B-4S),49470.0,37f53c4e-a55b-42b4-a447-8e2390d6c98c22011103.jpg
"Daikin Standard Series 1.5 Ton (5 Star-Inverter) Split AC with 3D Airflow, Copper Condenser, PM 2.5 Filter (FTKM50UV)",19546,Daikin 1.5 Ton 5 Star Split Inverter Air Conditioner (FTKM50UV),67200.0,017e9f0c-8529-4414-b4f5-32ec8d13b73822140608.jpg
"Voltas 2 Ton (3 Star - Inverter) 4 in 1 Convertible Split AC with Turbo Cooling, 100% Copper Condenser (243V Vectra Elite) 2023 Model",22347,Voltas 2 Ton 3 Star Split Inverter Air Conditioner (243VVECTRAELITE2TSPL),79990.0,945a1930-9137-457f-9d04-db56c3ccee7422031251.jpg
"Daikin Streamer Discharge Series 1.5 Ton (5 Star - Inverter) Split AC with Copper Condenser, Patented Steamer Discharge Technology (JTKJ50UV)",19831,Daikin 1.5 Ton 5 Star Split Inverter Air Conditioner (JTKJ50UV),73800.0,1a1d1e55-afc7-416e-9fd3-9c80061cf9d822090954.jpg
"Daikin Standard Plus Series 1.8 Ton (3 Star - Inverter) Split AC with 3D Airflow, Copper Condenser, Power Airflow Dual Flaps (ATKL60UV)",21038,Daikin 1.8 Ton 3 Star Split Inverter Air Conditioner (ATKL60UV-3S),72900.0,68ec98f8-bb45-412b-91c7-f346c7c5691c23251122.jpg
Hitachi 2 Ton 3 Star Split Inverter Air Conditioner (RMRG324HFEOZ1),19633,Hitachi 2 Ton 3 Star Split Inverter Air Conditioner (RMRG324HFEOZ1),75400.0,b05c188a-9687-46a1-8e39-fcd612eedb9422230559.jpg
"OGeneral CPT Series Tropical Inverter 1.5 Ton (3 Star - Inverter) Split AC with Coanda Airflow, 5 Speed Fan Control (ASGG18CPTB-B)",17020,Ogeneral 1.5 Ton 3 Star Split Inverter Air Conditioner (ASGG18CPTB-B),57900.0,1336089b-52cf-4595-9191-9bd24e1dd2af.jpg
"Mitsubishi Electric Kirigamine Series 1.5 Ton (3 Star - Inverter) Split AC with Long Airflow, PM 2.5 Filter, Fast Cooling (MSY-RJS18VF-DA1)",22660,Mitsubishi Electric 1.5 Ton 3 Star Inverter Air Conditioner (MSYRJS18VF-DA1),64000.0,3a5dad24-0e33-4fdc-baf5-65d89418801a22070644.jpg
"Mitsubishi Electric Kirigamine Series 1.9 Ton (3 Star - Inverter) Split AC with Long Airflow, PM 2.5 Filter, Fast Cooling (MSY-RJS22VF-DA1)",22661,Mitsubishi Electric 1.9 Ton 3 Star Inverter Air Conditioner (MSYRJS22VF-DA1),73000.0,77028f4d-ee23-4076-9e97-61eb2270647c22070644.jpg
"Daikin Standard Plus Series 2.02 Ton (3 Star - Inverter) Split AC with 3D Airflow, Copper Condenser, PM 2.5 Filter (FTKL71UV)",21048,Daikin 2.02 Ton 3 Star Split Inverter Air Conditioner (FTKL71UV-3S),86800.0,4b6a1610-821c-4d70-a9cf-f90c99e94d5723251148.jpg
"OGeneral CGT Series 1.5 Ton (5 Star - Inverter) Split AC with Coanda Airflow, PM 2.5 Filter, 5 Speed Fan Control (ASGG18CGTB-B)",17019,Ogeneral 1.5 Ton 5 Star Split Inverter Air Conditioner (ASGG18CGTB-B),70530.0,5591c9fd-7291-4da7-b131-c8113c81baf8.jpg
"Godrej 1.5 Ton (3 Star - Inverter) 5 in 1 Convertible Split AC with Active Carbon Filter, 100% Copper Condenser, Silent Operation (SIC 18TTC3-WWA)",23057,Godrej 1.5 Ton 3 Star Split Inverter Air Conditioner with Rotary Compressor & Antimicrobial Self-Clean Technology (SIC 18TTC3-W),45900.0,54214f41-8ef1-4b78-b7cb-6afc44bbf6a222301236.jpg
"Daikin Standard Series 1.5 Ton (3 Star) Split AC with Copper Condenser, PM 2.5 Filter, Coanda Airflow (FTL50UV)",19547,Daikin 1.5 Ton 3 Star Split Air Conditioner (FTL50UV),55600.0,f9b3d15a-ba75-42bc-8949-2c57f90c086d22071238.jpg
"OGeneral BMW Series 1 Ton (3 Star) Split AC with Higher Moisture Removal Rate, Removal Rate, 4 Speed Fan Control, Coanda Airflow (ASGA12BMWA-B)",17410,Ogeneral 1 Ton 3 Star Split Air Conditioner (ASGA12BMWB-B),46320.0,0ed85b3e-6277-4cb0-af46-ce571bb78a8221160633.jpg
Panasonic 1.5 Ton 3 Star Split Inverter Air Conditioner with Copper Condenser & PM 2.5 Filter (CSKU18YKY4F1),23059,Panasonic 1.5 Ton 3 Star Split Inverter Air Conditioner with Copper Condenser & PM 2.5 Filter (CSKU18YKY4F1-3S),58900.0,04585c9b-4576-479b-9a28-d9d486d339b122310602.jpg
"OGeneral CGT Series 1 Ton (5 Star - Inverter) Split AC with Coanda Airflow, PM 2.5 Filter, 5 Speed Fan Control (ASGG12CGTB-B)",17018,Ogeneral 1 Ton 5 Star Split Inverter Air Conditioner (ASGG12CGTB-B),55790.0,d6856881-f83c-45ff-85f0-881e0d25789a.jpg
