name,PID,pro_url,price,image
"Mi 67W SonicCharge 3.0 Charger Combo with Qualcomm Quick Charge 3.0, Superfast 6A Type C Cable (White)",22285,"Mi 67W SonicCharge 3.0 Charger Combo with Qualcomm Quick Charge 3.0, Superfast 6A Type C Cable (White)",2999.0,a8931094-7024-480d-9cee-b726916c1d1c22270818.jpg
Apple  MagSafe Charger,18287,Apple  MagSafe Charger,4500.0,d24374f9-669b-4cd3-8521-2422e943c06921111240.jpg
Apple USB-C Digital AV Multiport Adapter MUF82ZM/A,18282,Apple USB-C Digital AV Multiport Adapter MUF82ZM/A,6900.0,6a1f5dc5-0c0a-463e-bf1a-fc807f7f0a3421101412.jpg
"Apple 35W Dual USB-C Port Power Adapter Compatibility with iPhone, iPad, Mac, Apple Watch, AirPods Models (MNWP3HN/A)",21811,"35W Dual USB-C Port Power Adapter Compatibility with iPhone, iPad, Mac, Apple Watch, AirPods Models (MNWP3HN/A)",5800.0,5d435e95-2f9f-48c1-94bb-79ed63b9839422260852.png
"Apple MagSafe Battery Pack (MJWY3HN/A, White)",22458,"Apple MagSafe Battery Pack (MJWY3HN/A, White)",12100.0,0d8e05c7-9dd8-4889-91d8-bda5691afc3422170637.jpg
EVM ENQUICK EVM-CH-06 QC 3.0 22.5W Fast Charging Travel Adapter with USB Type-C Cable,19705,EVM ENQUICK EVM-CH-06 QC 3.0 22.5W Fast Charging Travel Adapter with USB Type-C Cable,1499.0,e3c69534-09af-49ff-885a-005747d68e8a22300845.jpg
EVM ENPOWER (EVM-PD-011) 22.5W High-Speed Fast Charging PD Charger (White),19711,EVM ENPOWER (EVM-PD-011) 22.5W High-Speed Fast Charging PD Charger (White),1699.0,5b4d72c7-f6b9-4c3b-a2ce-949e516396cf22310741.jpg
"pTron Bullet Wireless WX21 15W Fast Charging Pad With 3A Type-C 1.2 Meter Cable, Compatible With Wireless Charging Enabled Smartphones (Black)",19903,"pTron Bullet Wireless WX21 15W Fast Charging Pad With 3A Type-C 1.2 Meter Cable, Compatible With Wireless Charging Enabled Smartphones (Black)",1999.0,74a6e6f9-5993-46f5-8db6-cb5086f09ff322130631.jpg
"URBN 20W PD Wall Charger with BIS Certification, 20W Super Fast Charging QC 3.0 & PD 3.0 Compatible (White)",23369,"URBN 20W PD Wall Charger with BIS Certification, 20W Super Fast Charging QC 3.0 & PD 3.0 Compatible (White)",1999.0,2641d7f0-036b-474d-bd75-58e82a8bf37323270642.jpg
"URBN 25W PD Wall Charger with BIS Certification, 25W Super Fast Charging QC 3.0 & PD 3.0 Compatible (White)",23371,"URBN 25W PD Wall Charger with BIS Certification, 25W Super Fast Charging QC 3.0 & PD 3.0 Compatible (White)",1999.0,5ab76baf-7953-449f-80e8-ad7a0bf1a40023270710.jpg
Samsung EP-TA800NBEGIN 25 W USB C Adaptor (Black),15777,Samsung EP-TA800NBEGIN 25 W USB C Adaptor (Black),1999.0,c90babc7-c6ac-4862-904c-cccb704009b7.jpg
Samsung EP-TA800NWEGIN 25 W USB C Adaptor (White),15778,Samsung EP-TA800NWEGIN 25 W USB C Adaptor (White),1999.0,f5e4d62e-752d-45de-8126-a0a8ebf1d020.jpg
