name,PID,pro_url,price,image
"Philips Multigroom Series 7000 with Self-Sharpening Stainless Steel Blades, 13 Pieces to Trim, No-slip Rubber Grip, Metal Body (MG7715/65)",19899,"Philips Multi Purpose Grooming Set Trimmer, Self sharpening stainless steel blades, Quality tools for styling your face, head and body (MG7715/65)",4595.0,bf877921-2d8e-4908-a1b8-7f3cf622c6a723200505.jpg
"Vega P-1 Power Series Beard Trimmer with Stainless Steel Blades, 160 Minutes Operation time, Cord & Cordless use (VHTH-25)",23821,"Vega P-1 Power Series Beard Trimmer with Stainless Steel Blades, 160 Minutes Operation time, Cord & Cordless use (VHTH-25)",999.0,84c366f5-e97d-478f-8fc4-fb2789141db323041102.jpg
"Vega T2 Beard Trimmer with Stainless Steel Blades, 30 Minutes Operation Time, 2 Comb Attachments, Cordless Use, 6 Hours Charging Time (VHTH14)",15719,"Vega T2 Beard Trimmer, USB Charging, Stainless Steel Blades, 30 Minutes Operation Time (VHTH14)",999.0,71b65ef4-4e5d-4adb-af24-008c086dae27.jpg
"Philips Series 3000 Beard Trimmer with Lift & Trim system, 20 Length Settings, Skin-Friendly Blades, 60 Min Run Time, Ergonomic Easy Grip (BT3102/15)",13388,"Philips Cordless rechargeable Beard Trimmer, 20 length settings, 60 min run time (BT3102/15)",1495.0,a99c4d53-c389-4a9b-a938-e3fd5158c3c623140529.jpg
"Philips Series 3000 Beard Trimmer with Lift & Trim System, Longer Lasting Battery, Stainless Steel Blades, Ergonomic Easy Grip (BT3102-25)",17699,"Philips Beard Fancy Box Trimmer, Skin-friendly blades for smooth skin, Simple maintenance (BT3102-25)",1495.0,1061035f-c401-4006-85da-7dce9102ea4921301030.jpg
"Philips Series 3000 Beard Trimmer with PowerAdapt Sensor, 20 Integrated Length Settings, Stainless Steel Blades, Ergonomic Easy Grip (BT3125/15)",20366,"Philips Beard Trimmer Closed box, Simple Maintenance, Get a perfect but protective trim (BT3125/15)",1945.0,fdea71a9-0608-4cde-8836-7ada216fd56322171135.jpg
"Philips Series 3000 BeardTrimmer with PowerAdapt Sensor, Lift & Trim System, Titanium Blades, 20 Integrated Length Settings (BT3235/15)",20362,"Philips Beard Trimmer Closed Box, Longer lasting battery, Simple maintenance, Easy to grip (BT3235/15)",2445.0,e5f70024-9c7f-4078-8ebd-2b77b984941122171017.jpg
"Philips Multigroom Series 5000 Multipurpose Trimmer with Tempered Steel Blades, Chrome Finishing, Self-sharpening Blades, Metal Body (MG3750/33)",20367,"Philips Multi Purpose Grooming set, 10 pieces to trim your face and head, Easy to grip (MG3750/33)",3095.0,221b456c-4cd1-4a79-879a-77738f17bf4522171226.jpg
"Vega X1 Beard Trimmer with Stainless-Steel Blades, IPX7 Water Proof, USB Charging, Ergonomic Design, LED Display, 1.5 Hours Charge Time (VHTH16)",15714,"Vega X1 Beard Trimmer, Run-Time & Charge Time : 90 min & 90 min, Stainless-Steel baldes (VHTH16)",1499.0,d92b3f0d-3e0d-4e2c-af75-53e7f99caf96.jpg
"Vega Men 10 in 1 Multi Grooming Set with USB Charging, Cord and Cordless Use,  Power Indicator light (Black, VHTH-23)",22422,"Vega Men 10 in 1 Multi Grooming Set with USB Charging, Cord and Cordless Use,  Power Indicator light (Black, VHTH-23)",2099.0,a8bfe1ee-87fe-4166-95d0-74e628277d1122121133.jpg
"Vega VHTH18 T1 Beard Trimmer with 23 Length Settings, Stainless Steel Blades, Cordless Use 40 Minutes Run Time, Ergonomic Design, USB Charging",15721,Vega VHTH18 T1 Beard Trimmer,999.0,b5d5e6a9-922c-4c36-957c-7cc2503d9b14.jpg
"Philips Nose Trimmer Series 3000 Nose, Ear and Eyebrow Trimmer for Effortless Trimming, Stainless Steel Blades, Ergonomic Grip & Handling (NT3650/16)",15089,"Philips Nose, Ear and Eyebrow Trimmer, Efficient power system for corded use, Trim-n-Flow technology (NT3650/16)",1295.0,dba0d56c-086b-4a25-9478-95c8f1113ce8.jpg
"Vega X2 Beard Trimmer with IPX7 Water Proof, Stainless Steel Blades, 2 Comb Attachments, Ergonomic Design, LED Display, 2 Comb Attachments (VHTH17)",15716,"Vega X2 Beard Trimmer, Corded and Cordless, Run-Time & Charge Time : 90 min & 90 min (VHTH17)",1499.0,fe448ef1-119d-4763-a8ac-d108b6402369.jpg
"Vega T3 Beard Trimmer with Detachable Head, Stainless Steel Blades, Adjustable Comb, Dual Voltage, Lithium Battery, Ergonomic Design (VHTH19)",15718,"Vega T3 Beard Trimmer, Detachable Head for Easy Cleaning, Lithium Battery, Ergonomic Design (VHTH19)",1299.0,9c383644-7193-403b-a3a6-42a5c0e1b6ea.jpg
"Nova Multi Grooming Kit with Stainless Steel Blade, 10 Length Setting (Black, NG 1146)",21345,"Nova Multi Grooming Kit with Stainless Steel Blade, 10 Length Setting (Black, NG 1146)",1595.0,0d6511a2-3035-4134-9b0a-80a6f69659fb22230815.jpg
"Nova Trimmer with 6 Length Setting, Stainless Steel Blades (Black, NHT 1078)",21282,"Nova Trimmer with 6 Length Setting, Stainless Steel Blades (Black, NHT 1078)",999.0,f9c400e9-693d-4044-b1ed-4145d26f54f822201030.jpg
"Nova Trimmer with 20 Length Setting, Stainless Steel Blades (Black, NHT 1091)",21558,"Nova Trimmer with 20 Length Setting, Stainless Steel Blades (Black, NHT 1091)",1695.0,28711d58-0d05-4a0e-a67d-5505862a72ca22031135.jpg
"Nova Super Groom with Stainless Steel Blade, 14 length Setting (Black, NG - 1149)",21350,"Nova Super Groom with Stainless Steel Blade, 14 length Setting (Black, NG - 1149)",1795.0,f5651523-c06e-4a68-bf46-c85725c9667522231112.jpg
"Nova Trimmer with Stainless Steel Blades, 5 Length Setting, Cordless (Black, NHT - 1073)",21278,"Nova Trimmer with Stainless Steel Blades, 5 Length Setting, Cordless (Black, NHT - 1073)",999.0,25f771a9-8b5a-4897-a258-614a38e22c8022201013.jpg
